z,y,x,split,cube_size,rock,porosity,percolates_z,percolates_y,percolates_x
0,0,0,train,128,BanderaBrown,0.1858839988708496,1.0,1.0,1.0
0,0,128,train,128,BanderaBrown,0.19046306610107422,1.0,1.0,1.0
0,0,256,train,128,BanderaBrown,0.2158803939819336,1.0,1.0,1.0
0,0,384,train,128,BanderaBrown,0.20191717147827148,1.0,1.0,1.0
0,0,512,train,128,BanderaBrown,0.20765113830566406,1.0,1.0,1.0
0,0,640,train,128,BanderaBrown,0.22242403030395508,1.0,1.0,1.0
0,0,768,train,128,BanderaBrown,0.2388472557067871,1.0,1.0,1.0
0,0,872,train,128,BanderaBrown,0.21851825714111328,1.0,1.0,1.0
0,128,0,train,128,BanderaBrown,0.17916250228881836,1.0,1.0,1.0
0,128,128,train,128,BanderaBrown,0.17210817337036133,1.0,1.0,1.0
0,128,256,train,128,BanderaBrown,0.24327850341796875,1.0,1.0,1.0
0,128,384,train,128,BanderaBrown,0.22094011306762695,1.0,1.0,1.0
0,128,512,train,128,BanderaBrown,0.18467235565185547,1.0,1.0,1.0
0,128,640,train,128,BanderaBrown,0.20911502838134766,1.0,1.0,1.0
0,128,768,train,128,BanderaBrown,0.21189451217651367,1.0,1.0,1.0
0,128,872,train,128,BanderaBrown,0.21333789825439453,1.0,1.0,1.0
0,256,0,train,128,BanderaBrown,0.19442224502563477,1.0,1.0,1.0
0,256,128,train,128,BanderaBrown,0.19063472747802734,1.0,1.0,1.0
0,256,256,train,128,BanderaBrown,0.2188119888305664,1.0,1.0,1.0
0,256,384,train,128,BanderaBrown,0.24931097030639648,1.0,1.0,1.0
0,256,512,val,128,BanderaBrown,0.2601809501647949,1.0,1.0,1.0
0,256,640,train,128,BanderaBrown,0.26108217239379883,1.0,1.0,1.0
0,256,768,train,128,BanderaBrown,0.23213815689086914,1.0,1.0,1.0
0,256,872,train,128,BanderaBrown,0.21947717666625977,1.0,1.0,1.0
0,384,0,train,128,BanderaBrown,0.1988086700439453,1.0,1.0,1.0
0,384,128,train,128,BanderaBrown,0.18605804443359375,1.0,1.0,1.0
0,384,256,train,128,BanderaBrown,0.24741888046264648,1.0,1.0,1.0
0,384,384,train,128,BanderaBrown,0.238311767578125,1.0,1.0,1.0
0,384,512,val,128,BanderaBrown,0.22804641723632812,1.0,1.0,1.0
0,384,640,train,128,BanderaBrown,0.22012710571289062,1.0,1.0,1.0
0,384,768,val,128,BanderaBrown,0.21821165084838867,1.0,1.0,1.0
0,384,872,train,128,BanderaBrown,0.21826410293579102,1.0,1.0,1.0
0,512,0,train,128,BanderaBrown,0.22965383529663086,1.0,1.0,1.0
0,512,128,train,128,BanderaBrown,0.21264934539794922,1.0,1.0,1.0
0,512,256,train,128,BanderaBrown,0.2459726333618164,1.0,1.0,1.0
0,512,384,val,128,BanderaBrown,0.20873498916625977,1.0,1.0,1.0
0,512,512,val,128,BanderaBrown,0.25099611282348633,1.0,1.0,1.0
0,512,640,train,128,BanderaBrown,0.21711301803588867,1.0,1.0,1.0
0,512,768,train,128,BanderaBrown,0.2232208251953125,1.0,1.0,1.0
0,512,872,val,128,BanderaBrown,0.20734310150146484,1.0,1.0,1.0
0,640,0,val,128,BanderaBrown,0.18303680419921875,1.0,1.0,1.0
0,640,128,train,128,BanderaBrown,0.17989587783813477,1.0,1.0,1.0
0,640,256,train,128,BanderaBrown,0.2212352752685547,1.0,1.0,1.0
0,640,384,train,128,BanderaBrown,0.2609372138977051,1.0,1.0,1.0
0,640,512,train,128,BanderaBrown,0.22688674926757812,1.0,1.0,1.0
0,640,640,train,128,BanderaBrown,0.23413467407226562,1.0,1.0,1.0
0,640,768,train,128,BanderaBrown,0.2528862953186035,1.0,1.0,1.0
0,640,872,train,128,BanderaBrown,0.273404598236084,1.0,1.0,1.0
0,768,0,val,128,BanderaBrown,0.09554719924926758,1.0,1.0,1.0
0,768,128,train,128,BanderaBrown,0.1963024139404297,1.0,1.0,1.0
0,768,256,train,128,BanderaBrown,0.21556615829467773,1.0,1.0,1.0
0,768,384,train,128,BanderaBrown,0.23757505416870117,1.0,1.0,1.0
0,768,512,train,128,BanderaBrown,0.2553844451904297,1.0,1.0,1.0
0,768,640,train,128,BanderaBrown,0.20563793182373047,1.0,1.0,1.0
0,768,768,val,128,BanderaBrown,0.21175622940063477,1.0,1.0,1.0
0,768,872,train,128,BanderaBrown,0.2457876205444336,1.0,1.0,1.0
0,872,0,train,128,BanderaBrown,0.1803450584411621,1.0,1.0,1.0
0,872,128,train,128,BanderaBrown,0.2393641471862793,1.0,1.0,1.0
0,872,256,train,128,BanderaBrown,0.21814918518066406,1.0,1.0,1.0
0,872,384,train,128,BanderaBrown,0.24809789657592773,1.0,1.0,1.0
0,872,512,train,128,BanderaBrown,0.2128758430480957,1.0,1.0,1.0
0,872,640,train,128,BanderaBrown,0.2024078369140625,1.0,1.0,1.0
0,872,768,val,128,BanderaBrown,0.22122669219970703,1.0,1.0,1.0
0,872,872,train,128,BanderaBrown,0.24454879760742188,1.0,1.0,1.0
128,0,0,train,128,BanderaBrown,0.17938995361328125,1.0,1.0,1.0
128,0,128,train,128,BanderaBrown,0.21310758590698242,1.0,1.0,1.0
