z,y,x,split,cube_size,rock,porosity,percolates_z,percolates_y,percolates_x
0,0,0,train,192,BanderaGray,0.22035542240849249,1.0,1.0,1.0
0,0,192,train,192,BanderaGray,0.22449860749421297,1.0,1.0,1.0
0,0,384,train,192,BanderaGray,0.2081814518681279,1.0,1.0,1.0
0,0,576,train,192,BanderaGray,0.22443686591254342,1.0,1.0,1.0
0,0,768,train,192,BanderaGray,0.23736176667390047,1.0,1.0,1.0
0,0,808,train,192,BanderaGray,0.24716582121672453,1.0,1.0,1.0
0,192,0,train,192,BanderaGray,0.19263232195818866,1.0,1.0,1.0
0,192,192,train,192,BanderaGray,0.22682331226490163,1.0,1.0,1.0
0,192,384,train,192,BanderaGray,0.2610898900915075,1.0,1.0,1.0
0,192,576,train,192,BanderaGray,0.24539933381257234,1.0,1.0,1.0
0,192,768,train,192,BanderaGray,0.25463683516890917,1.0,1.0,1.0
0,192,808,train,192,BanderaGray,0.25637520684136283,1.0,1.0,1.0
0,384,0,train,192,BanderaGray,0.22256017614293983,1.0,1.0,1.0
0,384,192,train,192,BanderaGray,0.22499988697193288,1.0,1.0,1.0
0,384,384,train,192,BanderaGray,0.2294618112069589,1.0,1.0,1.0
0,384,576,train,192,BanderaGray,0.19075323034215858,1.0,1.0,1.0
0,384,768,train,192,BanderaGray,0.22199475323712384,1.0,1.0,1.0
0,384,808,train,192,BanderaGray,0.23545215747974538,1.0,1.0,1.0
0,576,0,train,192,BanderaGray,0.1753056844075521,1.0,1.0,1.0
0,576,192,train,192,BanderaGray,0.23573373865198205,1.0,1.0,1.0
0,576,384,train,192,BanderaGray,0.21196139300311054,1.0,1.0,1.0
0,576,576,train,192,BanderaGray,0.22025595770941842,1.0,1.0,1.0
0,576,768,train,192,BanderaGray,0.23363876342773438,1.0,1.0,1.0
0,576,808,train,192,BanderaGray,0.21889990347403068,1.0,1.0,1.0
0,768,0,train,192,BanderaGray,0.18231653284143517,1.0,1.0,1.0
0,768,192,train,192,BanderaGray,0.1917029486762153,1.0,1.0,1.0
0,768,384,train,192,BanderaGray,0.22100038881655093,1.0,1.0,1.0
0,768,576,train,192,BanderaGray,0.2486512925889757,1.0,1.0,1.0
0,768,768,train,192,BanderaGray,0.22264056735568577,1.0,1.0,1.0
0,768,808,train,192,BanderaGray,0.23633278740776908,1.0,1.0,1.0
0,808,0,train,192,BanderaGray,0.17654842800564235,1.0,1.0,1.0
