z,y,x,split,cube_size,rock,porosity,percolates_z,percolates_y,percolates_x
0,0,0,train,128,Berea,0.20346546173095703,1.0,1.0,1.0
0,0,128,train,128,Berea,0.16718769073486328,1.0,1.0,1.0
0,0,256,train,128,Berea,0.15176868438720703,1.0,1.0,1.0
0,0,384,train,128,Berea,0.18229198455810547,1.0,1.0,1.0
0,0,512,train,128,Berea,0.1840987205505371,1.0,1.0,1.0
0,0,640,train,128,Berea,0.20084095001220703,1.0,1.0,1.0
0,0,768,train,128,Berea,0.2166752815246582,1.0,1.0,1.0
0,0,872,train,128,Berea,0.22400999069213867,1.0,1.0,1.0
0,128,0,train,128,Berea,0.21883583068847656,1.0,1.0,1.0
0,128,128,train,128,Berea,0.18004465103149414,1.0,0.0,1.0
0,128,256,train,128,Berea,0.20903968811035156,1.0,1.0,1.0
0,128,384,train,128,Berea,0.19501924514770508,1.0,1.0,1.0
0,128,512,train,128,Berea,0.1362466812133789,1.0,1.0,1.0
0,128,640,train,128,Berea,0.15225791931152344,1.0,1.0,1.0
0,128,768,train,128,Berea,0.12902164459228516,1.0,1.0,1.0
0,128,872,train,128,Berea,0.1683645248413086,1.0,1.0,1.0
0,256,0,train,128,Berea,0.25760889053344727,1.0,1.0,1.0
0,256,128,train,128,Berea,0.21134233474731445,1.0,1.0,1.0
0,256,256,train,128,Berea,0.19612503051757812,1.0,1.0,1.0
0,256,384,train,128,Berea,0.17008352279663086,1.0,1.0,1.0
0,256,512,val,128,Berea,0.20579242706298828,1.0,1.0,1.0
0,256,640,train,128,Berea,0.2264876365661621,1.0,1.0,1.0
0,256,768,train,128,Berea,0.21705865859985352,1.0,1.0,1.0
0,256,872,train,128,Berea,0.2901010513305664,1.0,1.0,1.0
0,384,0,train,128,Berea,0.16836023330688477,1.0,1.0,1.0
0,384,128,train,128,Berea,0.23304414749145508,1.0,1.0,1.0
0,384,256,train,128,Berea,0.17130422592163086,1.0,1.0,1.0
0,384,384,train,128,Berea,0.27874755859375,1.0,1.0,1.0
0,384,512,val,128,Berea,0.2436981201171875,1.0,1.0,1.0
0,384,640,train,128,Berea,0.2553114891052246,1.0,1.0,1.0
0,384,768,val,128,Berea,0.23729705810546875,1.0,1.0,1.0
0,384,872,train,128,Berea,0.19037294387817383,1.0,1.0,1.0
0,512,0,train,128,Berea,0.23314142227172852,1.0,1.0,1.0
0,512,128,train,128,Berea,0.19757461547851562,1.0,1.0,1.0
0,512,256,train,128,Berea,0.16085004806518555,1.0,1.0,1.0
0,512,384,val,128,Berea,0.22568321228027344,1.0,1.0,1.0
0,512,512,val,128,Berea,0.24333858489990234,1.0,1.0,1.0
0,512,640,train,128,Berea,0.2337808609008789,1.0,1.0,1.0
